hint_1|Que a força esteja contigo.
hint_2|Religiões piegas e armas ancestrais não têm hipótese quando tens uma boa blaster ao teu lado, miúdo.
hint_3|Fazer ou não fazer... não há nenhuma tentativa.
hint_4|Eu acho a tua falta de fé pertubante.
hint_5|Ajuda-me Obi-Wan Kenobi, és a minha única esperança.
hint_6|Alguém tem de nos salvar a pele. Para a conduta do lixo, piloto!
hint_7|A Força é forte neste.
hint_8|Nave rápida? Nunca ouviste falar da Millenium Falcon?
hint_9|Garota maravilhosa. Ou eu vou matá-la... ou eu estou começando a gostar dela.
hint_10|Não és um pouco baixo para um Stormtrooper?
hint_11|Alguém pode tirar esta grande carpete ambulante do meu caminho?
hint_12|YAHOOOOO! Estás safo, rapaz. Agora vamos explodir com isto e voltar para casa!
hint_13|Acho que está na hora de mostrar o poder completo desta estação. Marca a rota para Alderaan.
hint_14|Há muito tempo atrás numa galáxia muito, muito distante...
hint_15|Ser bom contra os remotos é uma coisa, ser bom contra os vivos, é outra.
hint_16|Ele é o cérebro, querida!
hint_17|Seu pastor de nerfs arrogante, imbecil e esguelhado!
hint_18|A quem é que estás a chamar de esguelhado?
