hint_1|Que la Force soit avec vous.
hint_2|Toutes ces croyances à la noix et ces armes démodées ça vaut pas un bon pistolaser au côté, p'tit gars.
hint_3|Fais-le, ou ne le fais pas, mais il n'y a pas d'essai.
hint_4|Je trouve votre manque de foi inquiétante.
hint_5|Aidez-moi, Obi-Wan Kenobi, vous êtes mon seul espoir.
hint_6|Il faut bien que je vous sauve d'ici. Tous dans le conduit à ordures, et vite !
hint_7|La Force est forte avec celui-ci.
hint_8|Si mon vaisseau est rapide ? Vous n'avez jamais entendu parler du Faucon Millennium ?
hint_9|Une fille merveilleuse. Soit je vais la tuer ou je commence à l'aimer.
hint_10|Est-ce que vous n'êtes pas un peu trop petit pour un stormtrooper ?
hint_11|Et débarrassez-moi le plancher de cette grosse carpette ambulante !
hint_12|YAHOOOOO ! La route est dégagée, p'tit  gars, fais moi péter c't'engin et on rentre !
hint_13|Je pense qu'il est temps, nous avons démontré la puissance de cette station. Mettez le cap sur Alderaan.
hint_14|Il y a bien longtemps, dans une galaxie lointaine, très lointaine ...
hint_15|Contre un gadget télécommandé c'est facile. Contre un être vivant, c'est sûrement autre chose.
hint_16|Il est le cerveau, ma chérie!
hint_17|Vous êtes si prétentieux, si imbécile, si mal-fichu, si effronté !
hint_18|Moi je suis mal-fichu ?
