hint_1|Möge die Macht mit Euch sein.
hint_2|Antiquierte Waffen und Religionen können es nicht mit einer guten Laserkanone aufnehmen.
hint_3|Tu es, oder tu es nicht... es gibt kein Versuchen.
hint_4|Ich finde euren Mangel an Glauben beklagenswert.
hint_5|Helft mir, Obi-Wan Kenobi; ihr seid meine einzige Hoffnung!
hint_6|Irgendjemand muss doch was für unsere Rettung tun. Los, in den Müllschacht, Flieger-Ass.
hint_7|Die Macht ist stark mit ihm.
hint_8|Ein schnelles Schiff? Haben Sie noch nie vom Rasenden Falken gehört?
hint_9|Ein Prachtmädchen. Entweder bringe ich sie um oder ich verliebe mich noch in sie!
hint_10|Sind Sie nicht ein bisschen zu jung für die Sturmtruppen?
hint_11|Schafft mir endlich mal jemand diesen laufenden Bettvorleger aus dem Weg?
hint_12|JUHUUUUU! Alles klar Junge, lass uns das Ding in die Luft jagen und heim fliegen!
hint_13|Es ist der Augenblick, um die Feuerkraft dieser Station zu demonstrieren. Kurs auf Alderaan!
hint_14|Es war einmal vor langer Zeit in einer weit, weit entfernten Galaxie...
hint_15|Gegen so ein Spielzeug bestehen, das ist eine Sache. Gegen lebende Menschen, das ist was anderes.
hint_16|Das hier ist unsere Intelligenzbestie, meine Süße!
hint_17|Sie aufgeblasener, schwachsinniger, mieser, widerwärtiger Wookiee-Treiber!
hint_18|Wer ist hier widerwärtig?
